,0,1
180,2165.7395,1376.2158
181,820.8765,1433.4736
182,1836.9274,1448.3804
183,762.14874,1433.147
184,1917.1506,1433.1732
185,343.4091,1470.2272
186,390.9524,1470.4762
187,2255.9524,1470.238
188,2304.25,1470.75
189,818.6423,1493.9716
190,1323.0249,1494.0483
191,1841.885,1493.5662
192,342.5,1519.5454
193,392.5,1519.5
194,2255.75,1519.25
195,2304.762,1519.0476
196,303.1046,1558.4772
197,431.8954,1558.4772
198,762.20386,1556.3662
199,820.86176,1556.0377
200,1836.8931,1541.2457
201,1917.0897,1556.3376
202,2217.2988,1558.5204
203,2344.7622,1558.5875
204,250.57686,1609.5973
205,484.42316,1609.5973
206,687.74835,1607.2026
207,822.9023,1608.6821
208,1826.5638,1608.5358
209,1959.4738,1607.7529
210,2161.1533,1608.8922
211,1323.6736,1737.5867
212,66.64753,1867.263
213,692.8446,1868.022
214,822.9314,1866.4825
215,1827.6592,1863.6223
216,1969.1702,1912.412
217,2582.4595,1867.2618
218,138.89798,1866.9937
219,201.10202,1866.9937
220,261.55634,1866.9932
221,322.1478,1866.925
222,382.59717,1866.9178
223,443.0095,1866.9395
224,503.6816,1866.9867
225,564.47076,1867.086
226,626.3277,1866.9935
227,2083.53,1950.5271
228,2585.4114,1919.4814
229,2523.535,1919.2126
230,139.01811,1966.0239
231,201.02144,1965.9901
232,261.56458,1966.0731
233,322.18298,1966.1248
234,382.60107,1966.1448
235,443.02722,1966.1016
236,503.64975,1966.0706
237,564.4541,1965.8893
238,626.3762,1966.0419
239,818.64514,1981.0302
240,1323.0249,1980.9517
241,1833.048,1981.074
242,2523.6167,1981.3624
243,2585.5813,1981.3225
244,2523.5972,2041.7749
245,2585.635,2041.7762
246,138.90712,2056.9866
247,201.10155,2056.973
248,626.1094,2087.1758
249,823.28845,2097.214
250,1827.5549,2097.427
251,1965.8204,2090.7021
252,691.7921,2088.0522
253,2523.5244,2102.195
254,2585.6907,2102.189
255,138.85536,2147.601
256,201.14464,2147.601
257,2523.5244,2162.805
258,2585.6907,2162.811
259,626.2163,2177.6897
260,693.44226,2177.831
261,591.6667,2216.6667
262,1323.6676,2223.2249
263,2523.5972,2223.225
264,2585.6548,2223.2236
265,138.92682,2238.4353
266,201.07317,2238.4353
267,387.51013,2221.3198
268,459.90097,2248.592
269,588.09784,2253.7156
270,2352.0806,2266.6655
271,387.6595,2287.3787
272,2523.655,2284.003
273,2585.5308,2283.9763
274,592.5,2290.0
275,139.1107,2329.454
276,200.88928,2329.454
277,687.4622,2346.8403
278,626.79865,2330.9307
279,823.0834,2351.9314
280,1827.668,2351.4753
281,1966.5847,2357.1538
282,2523.643,2345.466
283,2585.432,2345.5364
284,2402.4343,2344.4954
285,2346.6638,2398.1743
286,2402.5972,2398.082
287,2519.6223,2397.4387
288,2582.4658,2397.735
289,2056.5786,2392.566
290,2196.3608,2396.9985
291,138.96811,2421.565
292,201.03189,2421.565
293,2216.0178,2397.336
294,2498.2505,2397.899
295,818.5178,2466.956
296,1323.0312,2466.9705
297,1833.1252,2466.9392
298,701.5626,2466.5513
299,762.7393,2466.5437
300,138.84299,2512.3987
301,201.14464,2512.399
302,701.54364,2527.7393
